ProjectName,PLC_Name,BlockName,BlockType,Language,AttributeName,AttributeValue,InterfaceSection,InterfaceName,InterfaceDataType,InitialValue,Comment,SourceReference
P24U1_OP6020,PC-System_1,KeyenceProfiloSensor_LJX8000_DB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_StationControl,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_Prompts,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_Warnings,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_AlarmDB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_PromptDB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_WarningDB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_Alarms,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_ManualNutrunner-1,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_PwrFocus1_DB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_ManualNutrunner-2,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_PwrFocus2_DB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_FISControlDB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_FISDataDB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_FISCommDB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_CallButtons,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,Sxx_FIS_RetainCounts,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_Banner IO Link Data,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_FIS_Manage,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_FIS_Data,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_IQT_FISDB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,Banner_TL50_Pro_PD,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,Banner_TL50_Pro_Advanced_PD,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_HMI_Manage,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,S1_ManualMovementScreen_DB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_ModeScreen_DB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_OperatorScreen_DB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_StationHmiDataTransfer_DB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,S1_CoolEDSHeadrComplexityDisplay,,DB,,,,,,,,
